Device;Device serial;ID;Date/Time;Value;Unit;Mode;Value2;Unit2;Mode2;Measurement;Calibration;Additional;Sensor;Sensor serial;User
inoLab Multi 9430; 14490252;3;13.10.2020 08:22:49;0,18;mg/l;Ox;20,2;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:22:53;0,18;mg/l;Ox;20,2;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:22:58;0,18;mg/l;Ox;20,2;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:03;0,18;mg/l;Ox;20,2;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:08;0,19;mg/l;Ox;20,2;°C;Temp;AR;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:13;0,22;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:18;0,25;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:23;0,29;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:28;0,34;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:33;0,40;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:38;0,46;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:43;0,52;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:48;0,59;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:53;0,66;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:23:58;0,74;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:03;0,82;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:08;0,90;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:13;0,99;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:18;1,07;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:23;1,16;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:28;1,24;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:33;1,33;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:38;1,43;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:43;1,50;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:48;1,58;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:53;1,66;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:24:58;1,75;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:03;1,84;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:08;1,92;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:13;2,00;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:18;2,08;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:23;2,16;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:28;2,24;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:33;2,32;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:38;2,41;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:43;2,49;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:48;2,56;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:53;2,64;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:25:58;2,71;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:03;2,79;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:08;2,87;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:13;2,94;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:18;3,01;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:23;3,09;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:28;3,15;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:33;3,23;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:38;3,30;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:43;3,37;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:48;3,43;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:53;3,49;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:26:58;3,56;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:03;3,63;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:08;3,69;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:13;3,77;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:18;3,83;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:23;3,89;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:28;3,95;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:33;4,02;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
inoLab Multi 9430; 14490252;3;13.10.2020 08:27:38;4,07;mg/l;Ox;20,2;°C;Temp;;+++;SC-FDO 925   14450243   t90 = 30 s;FDO 925; 14480154;
